Name,Series,Attachments,Status,URL,Series Number,Created,Field 15,Photo URL
Skull,Halloween 2022,"2022-10-24 16.03.51.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/ToxxhGm0BJCsPN_Ure636Q/p37z80p0wQBjn-dPQXzuxf1SB4naoiDaSVyb5kYPpfdoFQr-AaQsm-KyP3VBHDjEn0XqcEIvQxOc89unsemx_24b5f-FWrGETVnDCF78cCwqrDFRZyuOf91AFhJa73hpCmJbfLRGBzs8ppeqmcZvry6ZiJH3UIaSOVvTHXa7tAg/P0wjvYz2z6ArDnDQVCn4ROe4WFwP06FZrkAiShwUlcw),Skulls.png (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/efVN7qfyyrZan4VbCDAutQ/XkTc-0U-If3faxvVYNrL3-uFUrw8gAFhshBfeUGrsALDBONdWp1m48iVlbn73J8WnRDkUemMvjQYV6ZFtsCUT37vB3P_PvQ8AfImk6pi1i5jF91zYssxTtm8M_294wFg5qBnh4NjsjKxQzKKaWH8fg/nHkuabYaWuhA0voSSgR2Pw6M2MTAKueO87Q79u1xXWI)",Found,https://www.youvebeenpucked.com/halloween2022/skull?found=Skull,2,10/24/2022 4:03pm,,https://raw.githubusercontent.com/mkvug/YBP-Images/main/q19qjs0k8166.jpg
Eyes,Halloween 2022,"2022-10-24 16.03.03.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/yWTYlmSIyF0hRFPLUFblOQ/awGvLt7CoQLJmdIjHmnP-WQmXNsydOjavz8lvK89OeOydlbZxLJsu0m18sfAttqCzgtoiWXsGeAU2Fxb7UM9Hhej10MRRvRzLZTRFaqTdqaJaNAuIaq9uF4KorgKArWAfKIazJ6RP6bVch2uJG9QYmTX1yJDlkexOYMyJZC9SIA/TljAzlMxirzcauqythgPcUklFuNCLX4-R6rEnmxtu9M),Halloween2022.png (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/OQLsTfR3DlCh4AwbWZ5QpA/t9MZijZfaHxmJwfwfjcVDknx8V-0vGE2dM89UzPAIiNwT2VeAb3-jw1LPIBMbCcWULItyoKmOhVSsWpOZefHlIVVbfPkkvhgWFDt1grYa0KMHejcJwQfZSNC2EDr7sHoH8NCqTCpU61IcL6st07ytw/E_LrwKjNeQyQKkYNRksT4QgxljjakOaUEb43Xk3EQ6U)",Found,https://www.youvebeenpucked.com/halloween2022/eyes?found=Eyes,1,10/24/2022 4:02pm,,https://raw.githubusercontent.com/mkvug/YBP-Images/main/eixt2hplk4sc.jpg
Love Wins,Pride 2022,"2022-06-25 11.59.58.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/oCY137gfemlzLWC51kbUtw/YbV9yx7Ndr5mveQ84SqGp9C0xRKQJ7TYENW5O6MF4NY6AsmBC27aUpn5Wm-rLauEzheRbIYBLAMjw38SL7OShVR2S8tFu7sgUjXi9octYf7QbkRqUa9Z0m8E9gFrioelJNrt8QWv_J4UBEwTqdC9gR405q5w_2Oiz0dGGyJCNkM/GxOuuWGbRaVVkG7Z9NuhwcyYUCH0jBuLfWjv00SCDr8),LoveWins.png (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/xRCkMpVwiKQnjzzhMUJ4aA/hqtFdy0LPi-EBzmAUzsW_spX2gpNt7v5JQN4IX6TKbuC5aIH6VR9LCKwlYLzkTGDiXmkFLPBR8HhEoPkMDC8CyvfDvVLi9NeIEhinDXrp3e5RX4e-D-RogaEfCMfGFLUlL2YJUSXpDR3YF8xb52K1A/evmg2CjhV_IK8QYcjTvmXimxaVPksCAY1zy3_lrawfE)",Found,https://www.youvebeenpucked.com/pride2022/lovewins?found=LoveWins,6,6/25/2022 1:02am,,https://raw.githubusercontent.com/mkvug/YBP-Images/main/n4u0t2omriu3.jpg
Love Who You Are,Pride 2022,"2022-06-25 11.58.42.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/7h4U_D2ZI4jhyJE4vYj7Ug/ABTxhLIQv_VQstwVjyM_PUhux3qrKBhpWC_-8xmKaih8hCHwhanjErvwR6O8OoEb7D5MiRWa5NR9hw03_qg__9-_7LScMP8hTnlD8yM6lp3o1qvwnnrje0N8sgW4WEQvYmc122WXKb-6_rPfgn1QuXTmzVim6d2MGT2VnBQHx_8/gskGSUgMAxS0Borz4P2xMtp31toOMGeKyIhcQVd_ukY),LoveWhoYouAre.png (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/BmucUBAaldM4w07YHpvAxw/PfNdCXhDWVCGg681D7jDfrNLmdP-w5fWTxaWsnXYFHzkfZ_Trju_nScnXn-2XaX2EAE2Y-yuWQQ4m8gxEP2NZWgSaZrJnOhO63Q_X9Ahyk0H1x7w13Lafk6Hua9f78lVkmTGMWTbIQ_BqwhiJv7Pvg/ZMiTUZA0xAiNjx6IjX4ANmV7hZc5E3cKlMUzUFYz1ag)",Found,https://www.youvebeenpucked.com/pride2022/lovewhoyouare?found=LoveWhoYouAre,5,6/25/2022 1:02am,,https://raw.githubusercontent.com/mkvug/YBP-Images/main/h3cxcxyhoym5.jpg
Trans Pride,Pride 2022,"2022-06-25 11.59.08.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/GmQHbPuJbWxCiRgELqes9Q/wwa-BFAoVYA04uRDbheeWHnDogGWFGnYwwONxDHyWyBgVSJrtbFw7vCdZ3g5HNCNjVtd-e2tQH1hz2GYWEj_nEH5OQIJHvxjNaXUlqMc2NSQD7bZ6LkNZQ1EFMBz-0w4ykcSeMHxvSY4vnUqirbYp-euz1IHZGQkEIWTQoQbq-0/2M4-advdtH7U0BBAXx4P9CtCGsqnkJ9hm0TkLjEalGc),TransPride.png (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/MxOTe1aMccl3SNJQg8bJUg/RDZJ1F8Syul8pNoAH7j2LUq5VrA7KJnO2xc3AILLgkhsEevwJ3L9c1TgMFi4eJHaC19ITf_3w_QGz14U119YJenQW3ErDRz6CU3RCJNziKtlJa7czZhaBPpr_S1a-B1zGsJ7JwWJaPsXUoWeqzO7jQ/_qcubLF6dgXvUZdWchqdspHEJeSt6hA_xD_k7BcqDEI)",Assumed Found,https://www.youvebeenpucked.com/pride2022/transpride?found=TransPride,4,6/25/2022 1:01am,,https://raw.githubusercontent.com/mkvug/YBP-Images/main/wlz2xcosym5x.jpg
Love Is Love,Pride 2022,"2022-06-25 11.59.22.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/vnrcBQhjdhwFQWSRjyglIw/jB-H-YHj6ErxVfr-TJuyj0pP4q_IimygmYpbGkSu7RagRnfY1NgrwMrFnDPAyW4LZzIRY7IFFH-f_FG9J_z34eF17Vv8v789t71nHiTFVNte0YGJQ4sh1obQtK-HKuu8aTlkiv5x1N60KgiZJeUAmBdg64gktOcAC_7BxP6kLoo/Mt437G3KXHsG-xC8HUq64yAw0_F7lhV6hn19UUPZ3KM),LoveIsLove.png (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/PKuPx6LlV_w_lTUAOWAbHg/wEE1uWmL7JT51-2AitOd7TBjCeI7vVIPlDUOfhGRDtvXlu9emGGTNhXVIPPhpp5AL54vRXJvRvhJYBUjQreovWaau56bp57xxCRrSHx-ULk8AAFFFW-l_309VahWV6DCqM2YFr4HIvpP5b1NvVTgKg/peKO-J_gm9-6HsIoziJ87UoCJDRo3dmbQSIdqr2KKhY)",Found,https://www.youvebeenpucked.com/pride2022/loveislove?found=LoveIsLove,3,6/25/2022 1:00am,,https://raw.githubusercontent.com/mkvug/YBP-Images/main/4exey2mlnvka.jpg
Pride,Pride 2022,"2022-06-25 11.59.37.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/DhpogBSg0fH5nYJVjM8C7w/wW6RV6j0-fkC1M9uR1vyfUUlIuFTvIEwAYC3-kFY-PW6w9dLj5m9dPsxx1JPKS2NPoNIXljLAi_-Jkl-7z7-vgdT3vT9TJG5U5CGUTdGOWZvjcBbQEu9JhupNRBX9IeFpDQFgwh3dhbF--U83oYzfIMikx6NWseT8amiL-2k_eY/od4xZls00n7p-U-SEpreeT7OqpJiW46V3mthc34LiA4),Pride.png (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/NdasV0Nx8GQFV-CQURCoVw/sxYPGbxws-eWCKrVv_25HXj1IR1tETKC_Lz6hwE4NhloMmXr4VC4tb-llphyG8bZCh2_xMmdWQhSdVaoIQjdyWzQ0ynx2sF8G0e3n-tqixN9eHBX0tApjvZcjJmRV77kdRU4uGi6mS9FkqhMoRZ8ZQ/Aeasld5Qq2pUArT-sXcXy9p8X39WoXRmLeYqkE9tHnU)",Found,https://www.youvebeenpucked.com/pride2022/pride?found=Pride,2,6/25/2022 1:00am,,https://raw.githubusercontent.com/mkvug/YBP-Images/main/qf6jkkau1bhd.jpg
Ally,Pride 2022,"2022-06-25 12.00.11.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/umVB5gnc47-XTfUqkK02vQ/oXT8XtwVEh4iSFjQBvwz8U3Bnt9Aa55ojsT0zuNAVuvXwM4Pb_0QLyl_COPpX8lsKChlNYJXbk9oszDeg_IbepAmsJhh7qO7ruur73Wr1uathnhHT8xQCyPzp7B3H-dakDkuYwccD5JsOZtxbU7BTh9-vQHPURXpgb7pn5z8Azs/-Yk9S0cSXkCB1z4n_LIpHCy6-w6h7IbaOYXGEIXCgqs),Ally.png (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/FIykkfxRMh9N-yKvA1cMEA/aKJSnemYbeBqfCSB9jVLoeXNZW1K16ypOFfCtp9f_UpSG0eUMlARzEojVP-qF_Cc-ZvU7H6JlkWbZV1z1KlR_nUQwF5RyucYird2oj8sJnocL5P3JrnQvB-8ZZX1eH4Wt3-YAwbTOsgvkzCfhUazaA/4hHD73Xw6835UarBwaizz5uxgEVxGyo_foxyJeK_u40)",Found,https://www.youvebeenpucked.com/pride2022/ally?found=Ally,1,6/25/2022 12:58am,,https://raw.githubusercontent.com/mkvug/YBP-Images/main/ta8ge0ss2bwu.jpg
Chillin With My Peeps,Easter 2022,"2022-04-06 09.01.46.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/FKS4KvHL344GWGdJ1Mvj5g/gRbOP9CoQ15RI9oySuAL3uJYVMV_VQ98QU61j3d5YODtCqoAFUXJW2TWWG8ZHY0edSjPjt0LbwHMMT0FZVHFS38sSpL_QVxMizawo4-GPOSn8IvVhuhARwaOmIckCuNRn2WZHmXJDPU2Qt-uMg-4VMcqyDhHtDhr1WW-IVqy4qk/TdDdOQmPMAcvAM6lSnN_1KVHu6b4qXE7dq9BTbajff0),ChillinWithMyPeeps.png (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/OFzNBoIEx9-vJqj5CMOgFQ/eckWdl5hhUjnuQo1SADs2KyiQi46VwH7qDmI9paP_ej6mJAv43_6blNqZmiJkypPm9MUeOybhTcO48U8rj1_uttrryiaEWUyVdku3Rc7qDkPR4VvOL-0SelvdoKfKA_rs_Q_4pxPto1wLNwv5Z3CrTqmVIuWbv8EiCjVwDtkVcA/ejvgldA7No9LSSapr4XQQQ7Zs3CHY3dLLcEWz-2yXzg)",Found,https://www.youvebeenpucked.com/easter2022/chillinwithmypeeps?found=ChillinWithMyPeeps,6,4/6/2022 9:01am,,https://raw.githubusercontent.com/mkvug/YBP-Images/main/bldol2z6zl4f.jpg
Pink Bunny,Easter 2022,"2022-04-06 09.01.17.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/c3VTDVyg6Z25Zj4hotSDlg/3TQY61zJYlVD3b1ad38WhP4vBoZLX8Dtm8LW6wO3o0X1Pj3b81pQHSwBrS7aaVSulCskXanSqbCq3Grg7jpqZ2-L8KJLtMKr1GY-Zv77FsdDMdsC8n3xL4Xey7nnUABLS17b1xNTys97OeLIBN3dLJMmtXgex4rNpo0aK_OptTc/Pb4Pb1-_qeQJAYPJIG-RCuZ5zaJFzjbWgIANAxBK45w),PinkBunny.png (https://v5.airtableusercontent.com/v3/u/56/56/1786384800000/Hovcai1iIJ2a_BrwtBvy-w/kZgLw3RGDZYK8AzYjrtyZGlIWBINRSIbc3XV8Sbr3bvxXv6A-7PKGCSoqYOpK_aGaEx1bKZez2pNDzLS1ZfC6hmTCZ7NJfZwSVqMj8Gl79QiAcNchCHhUeRjqeLmkd_JCLaJOi5zSNlR8Of2bMZ53Q/x5HCJfXrNnGOFgW21vDc-CW0YSqa_cgD0_6GlJx0VGQ)",Found,https://www.youvebeenpucked.com/easter2022/pinkbunny?found=PinkBunny,5,4/6/2022 9:00am,,https://raw.githubusercontent.com/mkvug/YBP-Images/main/i07bdf1d8b3z.jpg
